Type,Model,Year,Weight,Dimensions,manufacturer
Drill,DCD771C2,2022,3.6,8.2x3.1x9.0,DeWalt
Drill,DCD771C2,2024,3.4,8.2x3.0x9.0,DeWalt
Drill,XFD131,2023,3.8,7.0x3.0x9.1,Makita
Drill,P215K,2022,2.7,7.5x3.0x8.5,Ryobi
Drill,2801-20,2023,3.4,6.5x2.5x8.0,Milwaukee
Sander,BDERO100,2021,3.2,7.0x5.0x6.0,Black+Decker
Sander,BDERO100,2023,3.1,7.0x5.0x6.0,Black+Decker
Sander,ROS20VSC,2022,3.5,9.0x5.0x6.0,Bosch
Sander,DWE6421,2023,2.9,7.0x5.0x6.0,DeWalt
Leaf Blower,LB6504,2023,9.7,36.0x6.0x10.0,EGO
Leaf Blower,RY40470,2022,9.0,34.0x7.0x11.0,Ryobi
Leaf Blower,51621,2021,8.9,41.0x7.0x14.0,Toro
Leaf Blower,LB5804,2022,8.5,35.0x6.0x9.0,EGO
Lawn Mower,25022,2022,37.5,28.0x17.0x20.0,Greenworks
Lawn Mower,MJ401E,2021,29.0,24.0x16.0x18.0,Sun Joe
Lawn Mower,RYAC130,2023,25.0,26.0x15.0x16.0,Ryobi
Lawn Mower,MO13B00,2023,19.8,25.0x14.0x15.0,Greenworks
Pressure Washer,SPX3000,2022,31.0,16.0x14.0x34.0,Sun Joe
Pressure Washer,SPX3000,2024,30.5,16.0x14.0x34.0,Sun Joe
Pressure Washer,RY142300,2023,32.0,17.0x15.0x35.0,Ryobi
Pressure Washer,K1700,2022,20.7,13.0x12.0x17.0,Karcher
Projector,Home Cinema 1080,2021,5.9,12.0x9.0x3.5,Epson
Projector,Home Cinema 1080,2023,5.8,12.0x9.0x3.5,Epson
Projector,TH575,2022,5.5,11.5x8.5x4.0,BenQ
Projector,Nebula Solar,2023,2.3,7.5x7.5x2.2,Anker
Folding Table,22901,2020,25.0,36.0x30.0x3.0,Lifetime
Folding Table,22901,2022,24.5,36.0x30.0x3.0,Lifetime
Cosco 6-Foot Folding Table,14088PBL1E,2021,26.0,37.0x30.0x3.5,Cosco
Folding Table,80160,2023,19.0,30.0x30.0x4.0,Lifetime
Tent,Sundome 4P,2022,10.2,24.0x7.0x7.0,Coleman
Tent,Sundome 4P,2024,10.0,24.0x7.0x7.0,Coleman
Tent,Co-op Half Dome 2,2023,4.8,20.0x7.0x7.0,REI
Tent,Copper Spur HV UL2,2023,3.1,19.0x6.0x6.0,Big Agnes
Tent,Montana 8P,2022,24.5,27.0x10.0x10.0,Coleman
Sewing Machine,4423 Heavy Duty,2021,14.5,15.5x6.2x12.0,Singer
Sewing Machine,4423 Heavy Duty,2023,14.3,15.5x6.2x12.0,Singer
Sewing Machine,CS6000i,2022,13.0,16.0x6.7x11.4,Brother
